sample_id,db_id,error_before,sql_before,sql_after
"1309","election","misuse of aggregate function COUNT()","SELECT T2.Party , SUM(COUNT(*)) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party","SELECT T2.Party , COUNT(*) FROM election AS T1 JOIN party AS T2 ON T1.Party = T2.Party_ID GROUP BY T2.Party"
"1417","flight_4","misuse of aggregate: count()","SELECT T1.name , T1.alid FROM airlines AS T1 JOIN routes AS T2 ON T1.alid = T2.alid ORDER BY count(*) DESC LIMIT 10","SELECT T1.name , T1.alid FROM airlines AS T1 JOIN routes AS T2 ON T1.alid = T2.alid GROUP BY T1.name, T1.alid ORDER BY count(*) DESC LIMIT 10"
"2143","local_govt_in_alabama","misuse of aggregate function count()","SELECT T1.Participant_Type_Code , SUM(count(*)) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code","SELECT T1.Participant_Type_Code , count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code"
"2144","local_govt_in_alabama","misuse of aggregate function count()","SELECT T1.Participant_Type_Code , AVG(count(*)) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code","SELECT T1.Participant_Type_Code , count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_Type_Code"
"2263","manufactory_1","ambiguous column name: Name","SELECT T1.Code , T1.Price FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Price FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2275","manufactory_1","ambiguous column name: Name","SELECT T1.Code , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2276","manufactory_1","ambiguous column name: Name","SELECT T1.Code , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2277","manufactory_1","ambiguous column name: Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2278","manufactory_1","ambiguous column name: Name","SELECT T1.Price , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T1.Manufacturer FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2279","manufactory_1","ambiguous column name: Name","SELECT T1.Price , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2280","manufactory_1","ambiguous column name: Name","SELECT T1.Price , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Price , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2281","manufactory_1","ambiguous column name: Name","SELECT T1.Manufacturer , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Manufacturer , T1.Code FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2282","manufactory_1","ambiguous column name: Name","SELECT T1.Manufacturer , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Manufacturer , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2283","manufactory_1","ambiguous column name: Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY Name","SELECT T1.Code , T2.Revenue FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name"
"2370","movie_1","misuse of aggregate function min()","SELECT T2.title , SUM(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
"2371","movie_1","misuse of aggregate function min()","SELECT T2.title , AVG(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
"2374","movie_1","misuse of aggregate function min()","SELECT T2.title , SUM(min(T1.stars)) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title","SELECT T2.title , min(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID GROUP BY T2.title"
"2409","movie_1","ambiguous column name: year","SELECT year , COUNT(year) FROM Movie AS T1 JOIN Movie AS T2 ON T1.director = T2.director WHERE T1.title != T2.title","SELECT T1.year , COUNT(T1.year) FROM Movie AS T1 JOIN Movie AS T2 ON T1.director = T2.director WHERE T1.title != T2.title"
"2431","music_1","aggregate functions are not allowed in the GROUP BY clause","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration)","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration"
"2455","network_1","misuse of aggregate function count()","SELECT T2.name , SUM(count(*)) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name","SELECT T2.name , count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name"
"2456","network_1","misuse of aggregate function count()","SELECT T2.name , AVG(count(*)) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name","SELECT T2.name , count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id = T2.id GROUP BY T2.name"
"2687","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa'","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date"
"2688","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa'","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date"
"2689","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY payment_date","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY payment_date"
"2969","tracking_orders","misuse of aggregate function count()","SELECT T3.product_name , SUM(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
"2970","tracking_orders","misuse of aggregate function count()","SELECT T3.product_name , AVG(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
"2971","tracking_orders","misuse of aggregate function count()","SELECT T3.product_name , SUM(count(*)) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name","SELECT T3.product_name , count(*) FROM orders AS T1 JOIN order_items AS T2 JOIN products AS T3 ON T1.order_id = T2.order_id AND T2.product_id = T3.product_id GROUP BY T3.product_name"
"3019","tracking_share_transactions","misuse of aggregate: COUNT()","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id ORDER BY COUNT(*) DESC LIMIT 3","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id GROUP BY T1.Investor_details, T1.investor_id ORDER BY COUNT(*) DESC LIMIT 3"
"3020","tracking_share_transactions","misuse of aggregate: COUNT()","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id ORDER BY COUNT(*) DESC LIMIT 3","SELECT T1.Investor_details , T1.investor_id FROM INVESTORS AS T1 JOIN TRANSACTIONS AS T2 ON T1.investor_id = T2.investor_id GROUP BY T1.Investor_details, T1.investor_id ORDER BY COUNT(*) DESC LIMIT 3"
"3219","wine_1","aggregate functions are not allowed in the GROUP BY clause","SELECT avg(Price) , avg(Score) FROM WINE GROUP BY avg(Price)","SELECT avg(Price) , avg(Score) FROM WINE GROUP BY Price"
"3241","wine_1","misuse of aggregate function avg()","SELECT Year , SUM(avg(Price)) FROM WINE","SELECT Year , avg(Price) FROM WINE"
"3249","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Price)) FROM WINE","SELECT Year , max(Price) FROM WINE"
"3251","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Score)) FROM WINE","SELECT Year , max(Score) FROM WINE"
"3257","wine_1","aggregate functions are not allowed in the GROUP BY clause","SELECT max(Price) , max(Score) FROM WINE GROUP BY max(Price)","SELECT max(Price) , max(Score) FROM WINE GROUP BY Price"
"2202@x_name@ASC","manufactory_1","ambiguous column name: Name","SELECT T1.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name ORDER BY Name ASC","SELECT T1.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name ORDER BY T1.Name ASC"
"2202@x_name@DESC","manufactory_1","ambiguous column name: Name","SELECT T1.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name ORDER BY Name DESC","SELECT T1.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T1.Name ORDER BY T1.Name DESC"
"2203@x_name@ASC","manufactory_1","ambiguous column name: Name","SELECT T2.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T2.Name ORDER BY Name ASC","SELECT T2.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T2.Name ORDER BY T1.Name ASC"
"2203@x_name@DESC","manufactory_1","ambiguous column name: Name","SELECT T2.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T2.Name ORDER BY Name DESC","SELECT T2.Name , max(T1.Price) FROM products AS T1 JOIN Manufacturers AS T2 ON T1.manufacturer = T2.code GROUP BY T2.Name ORDER BY T1.Name DESC"
"2431@x_name@ASC","music_1","aggregate functions are not allowed in the GROUP BY clause","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration) ORDER BY min(T1.duration) ASC","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration ORDER BY min(T1.duration) ASC"
"2431@x_name@DESC","music_1","aggregate functions are not allowed in the GROUP BY clause","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration) ORDER BY min(T1.duration) DESC","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration ORDER BY min(T1.duration) DESC"
"2431@y_name@ASC","music_1","aggregate functions are not allowed in the GROUP BY clause","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration) ORDER BY min(T2.rating) ASC","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration ORDER BY min(T2.rating) ASC"
"2431@y_name@DESC","music_1","aggregate functions are not allowed in the GROUP BY clause","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY min(T1.duration) ORDER BY min(T2.rating) DESC","SELECT min(T1.duration) , min(T2.rating) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T1.duration ORDER BY min(T2.rating) DESC"
"3241@y_name@ASC","wine_1","misuse of aggregate function avg()","SELECT Year , SUM(avg(Price)) FROM WINE  ORDER BY SUM(avg(Price)) ASC","SELECT Year , avg(Price) FROM WINE ORDER BY avg(Price) ASC"
"3241@y_name@DESC","wine_1","misuse of aggregate function avg()","SELECT Year , SUM(avg(Price)) FROM WINE  ORDER BY SUM(avg(Price)) DESC","SELECT Year , avg(Price) FROM WINE ORDER BY avg(Price) DESC"
"3249@y_name@ASC","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Price)) FROM WINE  ORDER BY AVG(max(Price)) ASC","SELECT Year , max(Price) FROM WINE ORDER BY max(Price) ASC"
"3249@y_name@DESC","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Price)) FROM WINE  ORDER BY AVG(max(Price)) DESC","SELECT Year , max(Price) FROM WINE ORDER BY max(Price) DESC"
"3251@y_name@ASC","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Score)) FROM WINE  ORDER BY AVG(max(Score)) ASC","SELECT Year , max(Score) FROM WINE ORDER BY max(Score) ASC"
"3251@y_name@DESC","wine_1","misuse of aggregate function max()","SELECT Year , AVG(max(Score)) FROM WINE  ORDER BY AVG(max(Score)) DESC","SELECT Year , max(Score) FROM WINE ORDER BY max(Score) DESC"
"676@x_name@ASC","college_3","near "T2": syntax error","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName T2.CID HAVING COUNT(*) >= 5 ORDER BY T1.CName ASC","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName, T2.CID HAVING COUNT(*) >= 5 ORDER BY T1.CName ASC"
"676@x_name@DESC","college_3","near "T2": syntax error","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName T2.CID HAVING COUNT(*) >= 5 ORDER BY T1.CName DESC","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName, T2.CID HAVING COUNT(*) >= 5 ORDER BY T1.CName DESC"
"676@y_name@ASC","college_3","near "T2": syntax error","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName T2.CID HAVING COUNT(*) >= 5 ORDER BY COUNT(T1.CName) ASC","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName, T2.CID HAVING COUNT(*) >= 5 ORDER BY COUNT(T1.CName) ASC"
"676@y_name@DESC","college_3","near "T2": syntax error","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName T2.CID HAVING COUNT(*) >= 5 ORDER BY COUNT(T1.CName) DESC","SELECT T1.CName , COUNT(T1.CName) FROM COURSE AS T1 JOIN ENROLLED_IN AS T2 ON T1.CID = T2.CID GROUP BY T1.CName, T2.CID HAVING COUNT(*) >= 5 ORDER BY COUNT(T1.CName) DESC"
"2687@y_name@ASC","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' ORDER BY COUNT(payment_date) ASC","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date ORDER BY COUNT(payment_date) ASC"
"2687@y_name@DESC","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' ORDER BY COUNT(payment_date) DESC","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date ORDER BY COUNT(payment_date) DESC"
"2688@y_name@ASC","sakila_1","SELECTs to the left and right of UNION do not have the same number of result columns","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' ORDER BY COUNT(payment_date) ASC","SELECT payment_date , COUNT(payment_date) FROM payment WHERE amount > 10 UNION SELECT T1.payment_date, COUNT(T1.payment_date) FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id = T2.staff_id WHERE T2.first_name = 'Elsa' GROUP BY T1.payment_date ORDER BY COUNT(payment_date) ASC"
